label,random_init,joint,n_blocks,L,modulus_type,kernel_size,mixing_horizon,global_avg_pool,lowpass_last,actual_train_samples,head_acc,finetune_acc,finetune_gain,joint_acc,filter_delta_relative,n_params_extractor,n_params_classifier
2b_cmod,,,2,8,complex_modulus,7,,False,False,50000,68.24,84.46,16.22,,1.9303,614762,156016
2b_cmod_L4,,,2,4,complex_modulus,7,,False,False,50000,66.64,82.31,15.67,,1.0803,103202,48160
2b_cmod_gap,,,2,8,complex_modulus,7,,True,False,50000,44.95,81.95,37.0,,2.0856,614762,2926
2b_cmod_rand,True,True,2,8,complex_modulus,7,,False,False,50000,,,,84.65,,614762,156016
2b_prelu_s01,,,2,8,phase_relu,7,,False,False,5000,61.73,71.2,9.47,,0.0905,615722,156016
2b_prelu_s03,,,2,8,phase_relu,7,,False,False,15000,65.88,79.19,13.31,,0.1708,615722,156016
2b_prelu,,,2,8,phase_relu,7,,False,False,50000,68.22,83.45,15.23,,0.3554,615722,156016
2b_prelu_L4,,,2,4,phase_relu,7,,False,False,50000,66.52,82.0,15.48,,0.288,103490,48160
2b_prelu_rand,True,True,2,8,phase_relu,7,,False,False,50000,,,,83.73,,615722,156016
3b_cmod_s01,,,3,8,complex_modulus,7,,False,False,5000,63.63,71.74,8.11,,0.7873,49802583,354304
3b_cmod_rand_s01,True,True,3,8,complex_modulus,7,,False,False,5000,,,,58.36,,49802583,354304
3b_cmod_s03,,,3,8,complex_modulus,7,,False,False,15000,68.31,79.62,11.31,,1.5458,49802583,354304
3b_cmod_rand_s03,True,True,3,8,complex_modulus,7,,False,False,15000,,,,78.17,,49802583,354304
3b_cmod_s05,,,3,8,complex_modulus,7,,False,False,25000,69.37,81.1,11.73,,2.4994,49802583,354304
3b_cmod_rand_s05,True,True,3,8,complex_modulus,7,,False,False,25000,,,,83.37,,49802583,354304
3b_cmod,,,3,8,complex_modulus,7,,False,False,50000,71.15,84.83,13.68,,3.9199,49802583,354304
3b_cmod_L4,,,3,4,complex_modulus,7,,False,False,50000,68.93,84.5,15.57,,1.9923,2583831,60760
3b_cmod_k5,,,3,8,complex_modulus,5,,False,False,50000,71.06,85.6,14.54,,2.8848,25409487,354304
3b_cmod_rand,True,True,3,8,complex_modulus,7,,False,False,50000,,,,86.52,,49802583,354304
3b_prelu_s01,,,3,8,phase_relu,7,,False,False,5000,63.16,69.23,6.07,,0.1565,49811319,354304
3b_prelu_rand_s01,True,True,3,8,phase_relu,7,,False,False,5000,,,,59.05,,49811319,354304
3b_prelu_s03,,,3,8,phase_relu,7,,False,False,15000,67.71,78.88,11.17,,0.2824,49811319,354304
3b_prelu_rand_s03,True,True,3,8,phase_relu,7,,False,False,15000,,,,74.44,,49811319,354304
3b_prelu_s05,,,3,8,phase_relu,7,,False,False,25000,69.04,79.86,10.82,,0.4691,49811319,354304
3b_prelu_rand_s05,True,True,3,8,phase_relu,7,,False,False,25000,,,,78.91,,49811319,354304
3b_prelu,,,3,8,phase_relu,7,,False,False,50000,70.54,83.81,13.27,,0.7147,49811319,354304
3b_prelu_L4,,,3,4,phase_relu,7,,False,False,50000,68.23,83.55,15.32,,0.4906,2585319,60760
3b_prelu_h27,,,3,8,phase_relu,7,27.0,False,False,50000,70.55,84.01,13.46,,0.2058,6088815,354304
3b_prelu_k5,,,3,8,phase_relu,5,,False,False,50000,70.79,84.35,13.56,,0.5286,25418223,354304
3b_prelu_gap,,,3,8,phase_relu,7,,True,False,50000,54.39,83.66,29.27,,0.928,49811319,26254
3b_prelu_rand,True,True,3,8,phase_relu,7,,False,False,50000,,,,84.77,,49811319,354304
4b_cmod_L4_lp,,,4,4,complex_modulus,7,,False,True,50000,61.67,85.37,23.7,,2.6721,9474460,15760
4b_cmod_lp,,,4,8,complex_modulus,5,27.0,False,True,50000,65.24,86.72,21.48,,0.7834,4578316,91864
4b_cmod_lp_rand,True,True,4,8,complex_modulus,5,27.0,False,True,50000,,,,86.39,,4578316,91864
4b_prelu_lp_s01,,,4,8,phase_relu,5,27.0,False,True,5000,58.24,73.99,15.75,,0.0674,4587052,91864
4b_prelu_lp_s03,,,4,8,phase_relu,5,27.0,False,True,15000,62.04,80.73,18.69,,0.1149,4587052,91864
4b_prelu_lp,,,4,8,phase_relu,5,27.0,False,True,50000,64.33,85.88,21.55,,0.2401,4587052,91864
4b_prelu_L4_lp,,,4,4,phase_relu,7,,False,True,50000,60.45,84.65,24.2,,0.9043,9475948,15760
4b_prelu_lp_gap,,,4,8,phase_relu,5,27.0,True,True,50000,54.17,85.44,31.27,,0.2729,4587052,26254
4b_prelu_lp_rand,True,True,4,8,phase_relu,5,27.0,False,True,50000,,,,86.08,,4587052,91864
