label,random_init,joint,n_blocks,L,modulus_type,mixing_horizon,l2_penalty,actual_train_samples,head_acc,finetune_acc,finetune_gain,joint_acc,filter_delta_relative,n_params_extractor,n_params_classifier
3b_cmod_4L_rand_s1,True,True,3,4,complex_modulus,,0.0,5000,,,,69.08,,1318287,60760
3b_cmod_4L_s1,False,False,3,4,complex_modulus,,0.0,5000,62.43,74.23,11.8,,0.3991,1318287,60760
3b_cmod_4L_s1_l2,False,False,3,4,complex_modulus,,0.005,5000,62.5,73.44,10.94,,0.3351,1318287,60760
3b_cmod_6L_rand_s1,True,True,3,6,complex_modulus,,0.0,5000,,,,63.67,,7169187,166708
3b_cmod_6L_s1,False,False,3,6,complex_modulus,,0.0,5000,63.46,73.69,10.23,,0.5096,7169187,166708
3b_cmod_6L_s1_l2,False,False,3,6,complex_modulus,,0.005,5000,63.47,73.96,10.49,,0.356,7169187,166708
3b_cmod_8L_rand_s1,True,True,3,8,complex_modulus,,0.0,5000,,,,67.83,,25409487,354304
3b_cmod_8L_s1,False,False,3,8,complex_modulus,,0.0,5000,63.64,70.92,7.28,,0.7159,25409487,354304
3b_cmod_8L_s1_l2,False,False,3,8,complex_modulus,,0.005,5000,64.08,71.15,7.07,,0.4037,25409487,354304
3b_cmod_4L_rand_s3,True,True,3,4,complex_modulus,,0.0,15000,,,,79.84,,1318287,60760
3b_cmod_4L_s3,False,False,3,4,complex_modulus,,0.0,15000,65.95,80.5,14.55,,0.7368,1318287,60760
3b_cmod_4L_s3_l2,False,False,3,4,complex_modulus,,0.005,15000,65.83,80.36,14.53,,0.4763,1318287,60760
3b_cmod_6L_rand_s3,True,True,3,6,complex_modulus,,0.0,15000,,,,80.65,,7169187,166708
3b_cmod_6L_s3,False,False,3,6,complex_modulus,,0.0,15000,67.6,80.37,12.77,,0.9592,7169187,166708
3b_cmod_6L_s3_l2,False,False,3,6,complex_modulus,,0.005,15000,67.51,80.22,12.71,,0.3906,7169187,166708
3b_cmod_8L_rand_s3,True,True,3,8,complex_modulus,,0.0,15000,,,,80.89,,25409487,354304
3b_cmod_8L_s3,False,False,3,8,complex_modulus,,0.0,15000,68.23,78.83,10.6,,1.3903,25409487,354304
3b_cmod_8L_s3_l2,False,False,3,8,complex_modulus,,0.005,15000,68.08,80.39,12.31,,0.365,25409487,354304
3b_cmod_4L_rand_s5,True,True,3,4,complex_modulus,,0.0,25000,,,,82.75,,1318287,60760
3b_cmod_4L_s5,False,False,3,4,complex_modulus,,0.0,25000,67.51,83.02,15.51,,1.0092,1318287,60760
3b_cmod_4L_s5_l2,False,False,3,4,complex_modulus,,0.005,25000,67.52,82.81,15.29,,0.5069,1318287,60760
3b_cmod_6L_rand_s5,True,True,3,6,complex_modulus,,0.0,25000,,,,83.72,,7169187,166708
3b_cmod_6L_s5,False,False,3,6,complex_modulus,,0.0,25000,69.15,82.31,13.16,,1.4909,7169187,166708
3b_cmod_6L_s5_l2,False,False,3,6,complex_modulus,,0.005,25000,68.98,82.06,13.08,,0.3864,7169187,166708
3b_cmod_8L_rand_s5,True,True,3,8,complex_modulus,,0.0,25000,,,,83.93,,25409487,354304
3b_cmod_8L_s5,False,False,3,8,complex_modulus,,0.0,25000,69.64,81.6,11.96,,1.97,25409487,354304
3b_cmod_8L_s5_l2,False,False,3,8,complex_modulus,,0.005,25000,69.91,81.57,11.66,,0.3546,25409487,354304
3b_cmod_4L_rand_s10,True,True,3,4,complex_modulus,,0.0,50000,,,,85.81,,1318287,60760
3b_cmod_4L_s10,False,False,3,4,complex_modulus,,0.0,50000,68.91,86.2,17.29,,1.528,1318287,60760
3b_cmod_4L_s10_l2,False,False,3,4,complex_modulus,,0.005,50000,69.01,85.22,16.21,,0.5048,1318287,60760
3b_cmod_6L_rand_s10,True,True,3,6,complex_modulus,,0.0,50000,,,,86.99,,7169187,166708
3b_cmod_6L_s10,False,False,3,6,complex_modulus,,0.0,50000,70.69,85.85,15.16,,2.1623,7169187,166708
3b_cmod_6L_s10_l2,False,False,3,6,complex_modulus,,0.005,50000,70.66,85.02,14.36,,0.3819,7169187,166708
3b_cmod_8L_rand_s10,True,True,3,8,complex_modulus,,0.0,50000,,,,87.58,,25409487,354304
3b_cmod_8L_s10,False,False,3,8,complex_modulus,,0.0,50000,71.48,86.01,14.53,,2.8645,25409487,354304
3b_cmod_8L_s10_l2,False,False,3,8,complex_modulus,,0.005,50000,71.01,84.68,13.67,,0.3303,25409487,354304
3b_prelu_4L_rand_s1,True,True,3,4,phase_relu,,0.0,5000,,,,65.85,,1319775,60760
3b_prelu_4L_s1,False,False,3,4,phase_relu,,0.0,5000,62.19,73.41,11.22,,0.1015,1319775,60760
3b_prelu_4L_s1_l2,False,False,3,4,phase_relu,,0.005,5000,61.99,73.18,11.19,,0.0848,1319775,60760
3b_prelu_6L_rand_s1,True,True,3,6,phase_relu,,0.0,5000,,,,62.7,,7173291,166708
3b_prelu_6L_s1,False,False,3,6,phase_relu,,0.0,5000,63.12,73.67,10.55,,0.1084,7173291,166708
3b_prelu_6L_s1_l2,False,False,3,6,phase_relu,,0.005,5000,63.44,73.63,10.19,,0.075,7173291,166708
3b_prelu_8L_rand_s1,True,True,3,8,phase_relu,,0.0,5000,,,,59.09,,25418223,354304
3b_prelu_8L_s1,False,False,3,8,phase_relu,,0.0,5000,62.98,72.31,9.33,,0.1202,25418223,354304
3b_prelu_8L_s1_l2,False,False,3,8,phase_relu,,0.005,5000,63.17,73.25,10.08,,0.0708,25418223,354304
3b_prelu_4L_rand_s3,True,True,3,4,phase_relu,,0.0,15000,,,,77.65,,1319775,60760
3b_prelu_4L_s3,False,False,3,4,phase_relu,,0.0,15000,65.66,80.07,14.41,,0.1852,1319775,60760
3b_prelu_4L_s3_l2,False,False,3,4,phase_relu,,0.005,15000,65.63,79.74,14.11,,0.1171,1319775,60760
3b_prelu_6L_rand_s3,True,True,3,6,phase_relu,,0.0,15000,,,,78.32,,7173291,166708
3b_prelu_6L_s3,False,False,3,6,phase_relu,,0.0,15000,67.51,78.6,11.09,,0.2192,7173291,166708
