arch,data_frac,delta_mean,delta_std,gain_mean,gain_std,corr_delta_gain
3b_cmod_4L,5%,0.31202,0.04222661482998608,6.35,0.9527066704920253,0.862487305410796
3b_cmod_4L,10%,0.50588,0.030020776139200643,8.059999999999999,0.5039345195558643,0.7720028972385777
3b_cmod_4L,15%,0.6617000000000001,0.0033852621759621663,9.288,0.20117156856772753,0.49411286042278446
3b_cmod_4L,20%,0.79312,0.004843758870959614,10.319999999999999,0.3441656577870601,-0.08218082928419629
3b_cmod_4L,30%,1.02274,0.0029262604121984745,12.306000000000001,0.3090792778560221,-0.09071847155184919
3b_cmod_4L,50%,1.30828,0.21539710304458598,13.770000000000001,1.0571187255932988,0.9355959989766225
3b_cmod_4L,100%,2.0555399999999997,0.08289124199817496,17.824,0.6456237294275972,0.6780575000504067
4b_cmod_4L_h27,5%,0.3883,0.017122061791735244,13.754,0.5657119408320811,0.9386335631550617
4b_cmod_4L_h27,10%,0.55462,0.004956006456815805,17.064,0.6223584176340828,0.7869894603497274
4b_cmod_4L_h27,15%,0.6678200000000001,0.01239342567654318,18.479999999999997,0.8250454532933326,0.9673462151795308
4b_cmod_4L_h27,20%,0.7756000000000001,0.0017204650534085038,19.988,0.48996938679880764,0.513656862369882
4b_cmod_4L_h27,30%,0.9495000000000001,0.002947880594596743,21.574,0.25025986494042557,0.3910611953290331
4b_cmod_4L_h27,50%,1.23344,0.001190798051728295,24.28,0.25680732076792484,0.10382410935938233
4b_cmod_4L_h27,100%,1.7776400000000003,0.01625278437683839,27.65,0.39730341050637774,0.9179939360342811
